Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 2575: uncritical (j). Academic frequency: 244; ratio: 2.4272377470364601; dispersion: 0.88325025543908997; range: 7.
Rank 2576: unfolding (n). Academic frequency: 243; ratio: 2.3570252024262102; dispersion: 0.86725854875709496; range: 7.
Rank 2577: overemphasize (v). Academic frequency: 243; ratio: 2.2996921569617901; dispersion: 0.91489818542734802; range: 8.
Rank 2578: merging (n). Academic frequency: 243; ratio: 2.0753319465264899; dispersion: 0.87225507923469203; range: 8.
Rank 2579: deprived (j). Academic frequency: 243; ratio: 1.5194394608497599; dispersion: 0.88751028639543905; range: 8.
Rank 2580: comprehensively (r). Academic frequency: 242; ratio: 2.393741551398; dispersion: 0.92036302031178097; range: 8.
Rank 2581: sizeable (j). Academic frequency: 242; ratio: 1.71188789736342; dispersion: 0.89233721376845498; range: 8.
Rank 2582: salutary (j). Academic frequency: 241; ratio: 2.22660401138238; dispersion: 0.89364674477906403; range: 7.
Rank 2583: unquestioned (j). Academic frequency: 241; ratio: 1.7878875430379699; dispersion: 0.91211147601162001; range: 7.
Rank 2584: debatable (j). Academic frequency: 241; ratio: 1.5232543687976901; dispersion: 0.91151916945177602; range: 8.
Rank 2585: distinguishable (j). Academic frequency: 241; ratio: 2.23841623425443; dispersion: 0.91151916945177602; range: 8.
Rank 2586: implausible (j). Academic frequency: 241; ratio: 1.55985752368562; dispersion: 0.90146461327949201; range: 8.
Rank 2587: counterintuitive (j). Academic frequency: 240; ratio: 1.86337324042783; dispersion: 0.896684186576445; range: 9.
Rank 2588: transitory (j). Academic frequency: 239; ratio: 1.9691288060046599; dispersion: 0.91373799938483402; range: 8.
Rank 2589: exploitative (j). Academic frequency: 238; ratio: 2.0939149589723902; dispersion: 0.88626212272606097; range: 8.
Rank 2590: catalogue (v). Academic frequency: 238; ratio: 1.5263336147820701; dispersion: 0.88594863151945402; range: 9.
Rank 2591: conclusively (r). Academic frequency: 238; ratio: 1.6405081765177401; dispersion: 0.90737009515786304; range: 8.
Rank 2592: proclivity (n). Academic frequency: 238; ratio: 1.78836513663307; dispersion: 0.91232061130306297; range: 8.
Rank 2593: readable (j). Academic frequency: 237; ratio: 1.5396596749351401; dispersion: 0.89951051387014402; range: 8.
Rank 2594: iterative (j). Academic frequency: 237; ratio: 3.3328376095985499; dispersion: 0.85041226049194596; range: 7.
Rank 2595: aegis (n). Academic frequency: 237; ratio: 1.5807172662667399; dispersion: 0.88677295372659304; range: 8.
Rank 2596: distributive (j). Academic frequency: 237; ratio: 3.1918329415001501; dispersion: 0.82707823968288496; range: 7.
Rank 2597: inalienable (j). Academic frequency: 236; ratio: 2.08680549471987; dispersion: 0.855932203389831; range: 7.
Rank 2598: laissez-faire (n). Academic frequency: 236; ratio: 1.81620873826169; dispersion: 0.86900162929519298; range: 9.
Rank 2599: preeminence (n). Academic frequency: 236; ratio: 2.2274258110756602; dispersion: 0.88509791439816898; range: 7.
Rank 2600: switching (n). Academic frequency: 236; ratio: 1.8612049006961; dispersion: 0.81916193164360196; range: 9.
Rank 2601: summation (n). Academic frequency: 235; ratio: 1.6793334429144899; dispersion: 0.90191585039175604; range: 8.
Rank 2602: reassessment (n). Academic frequency: 233; ratio: 1.84169347464144; dispersion: 0.89589944575717195; range: 9.
Rank 2603: proportionately (r). Academic frequency: 233; ratio: 2.03458905053904; dispersion: 0.894125246350567; range: 9.
Rank 2604: progenitor (n). Academic frequency: 233; ratio: 2.16411196091819; dispersion: 0.85726282929711894; range: 8.
Rank 2605: interconnect (v). Academic frequency: 233; ratio: 1.91518828466234; dispersion: 0.90928528825479404; range: 9.
Rank 2606: individualist (n). Academic frequency: 232; ratio: 2.2256674531101002; dispersion: 0.81066871021298303; range: 8.
Rank 2607: outmoded (j). Academic frequency: 232; ratio: 1.5928796478140901; dispersion: 0.91753571649364896; range: 9.
Rank 2608: parlance (n). Academic frequency: 232; ratio: 1.5099788482995999; dispersion: 0.92150431881377604; range: 9.
Rank 2609: analytically (r). Academic frequency: 232; ratio: 2.85041621187785; dispersion: 0.90366542102186098; range: 8.
Rank 2610: stricture (n). Academic frequency: 232; ratio: 1.66810805007225; dispersion: 0.90543695100053501; range: 8.
Rank 2611: tacitly (r). Academic frequency: 232; ratio: 2.0009079319832201; dispersion: 0.90040513468947403; range: 7.
Rank 2612: vicarious (j). Academic frequency: 232; ratio: 2.0937335576937799; dispersion: 0.84773922874612395; range: 7.
Rank 2613: discriminating (j). Academic frequency: 231; ratio: 1.8425217118546999; dispersion: 0.90206623744373304; range: 9.
Rank 2614: undervalue (v). Academic frequency: 229; ratio: 1.61340815642309; dispersion: 0.90216987028264195; range: 9.
Rank 2615: state-sponsored (j). Academic frequency: 229; ratio: 1.7858883156843499; dispersion: 0.86867791173512798; range: 7.
Rank 2616: interventionist (j). Academic frequency: 228; ratio: 2.4871098593810101; dispersion: 0.86260630660409898; range: 7.
Rank 2617: heredity (n). Academic frequency: 228; ratio: 2.0418472247092199; dispersion: 0.87380197518517999; range: 8.
Rank 2618: mitigating (j). Academic frequency: 227; ratio: 1.9871516899508299; dispersion: 0.83540690618214897; range: 8.
Rank 2619: manifestly (r). Academic frequency: 226; ratio: 2.12730937392302; dispersion: 0.89132766682702502; range: 7.
Rank 2620: delineation (n). Academic frequency: 226; ratio: 2.5445629810268899; dispersion: 0.89617251766678396; range: 8.
Rank 2621: abbreviation (n). Academic frequency: 226; ratio: 1.9588096215330799; dispersion: 0.87817670046237695; range: 9.
Rank 2622: compendium (n). Academic frequency: 226; ratio: 1.5764125241023199; dispersion: 0.89598200448061904; range: 9.
Rank 2623: state-level (j). Academic frequency: 226; ratio: 2.7573487355378501; dispersion: 0.83123939715681305; range: 8.
Rank 2624: subpopulation (n). Academic frequency: 226; ratio: 3.2300370902014799; dispersion: 0.82389103219373006; range: 7.
Rank 2625: verifiable (j). Academic frequency: 225; ratio: 1.89388821687113; dispersion: 0.86950588477879198; range: 7.
Rank 2626: justifiably (r). Academic frequency: 225; ratio: 1.5916313095321; dispersion: 0.91704580630139998; range: 9.
Rank 2627: insufficiently (r). Academic frequency: 224; ratio: 1.9757075801950199; dispersion: 0.89956722716331505; range: 8.
Rank 2628: preconception (n). Academic frequency: 224; ratio: 1.71631490008188; dispersion: 0.90663895368493497; range: 8.
Rank 2629: polarized (j). Academic frequency: 224; ratio: 1.7314699985373501; dispersion: 0.850533486144739; range: 8.
Rank 2630: derivative (j). Academic frequency: 224; ratio: 1.78668772058638; dispersion: 0.89758019031588498; range: 9.
Rank 2631: forego (v). Academic frequency: 224; ratio: 1.53494307111041; dispersion: 0.903664177236425; range: 8.
Rank 2632: veracity (n). Academic frequency: 224; ratio: 1.63748624078794; dispersion: 0.89239832056558699; range: 7.
Rank 2633: reformulate (v). Academic frequency: 224; ratio: 2.3625177992091002; dispersion: 0.91938133336077998; range: 8.
Rank 2634: coordinating (j). Academic frequency: 223; ratio: 1.8906884272553299; dispersion: 0.85136284952772001; range: 8.
Rank 2635: bracket (v). Academic frequency: 223; ratio: 1.6100089081576301; dispersion: 0.87020558789571301; range: 9.
Rank 2636: paternalistic (j). Academic frequency: 223; ratio: 2.0494864053975101; dispersion: 0.87402177743713705; range: 8.
Rank 2637: paternalism (n). Academic frequency: 222; ratio: 2.2273717237119799; dispersion: 0.84543029597337804; range: 8.
Rank 2638: prohibitive (j). Academic frequency: 222; ratio: 1.54236653090373; dispersion: 0.88919252225169298; range: 9.
Rank 2639: reinterpretation (n). Academic frequency: 222; ratio: 2.4835550529567998; dispersion: 0.89005358235405896; range: 7.
Rank 2640: unpredictability (n). Academic frequency: 222; ratio: 1.5393123397534301; dispersion: 0.89143733582356399; range: 8.
Rank 2641: vitally (r). Academic frequency: 221; ratio: 1.64649179296704; dispersion: 0.92327456133082597; range: 8.
Rank 2642: immutable (j). Academic frequency: 221; ratio: 1.80384881746972; dispersion: 0.90279921169289601; range: 9.
Rank 2643: deletion (n). Academic frequency: 221; ratio: 2.4334941594166999; dispersion: 0.86872569650069997; range: 8.
Rank 2644: declarative (j). Academic frequency: 220; ratio: 2.62023657759707; dispersion: 0.80402414107104503; range: 7.
Rank 2645: erroneously (r). Academic frequency: 220; ratio: 1.8562639850928599; dispersion: 0.92293936455044001; range: 9.
Rank 2646: comparability (n). Academic frequency: 220; ratio: 3.27808320771718; dispersion: 0.83825000575884501; range: 8.
Rank 2647: stagnate (v). Academic frequency: 220; ratio: 1.6893630566086399; dispersion: 0.89123303118394703; range: 9.
Rank 2648: consonant (j). Academic frequency: 219; ratio: 2.8192939887226798; dispersion: 0.87340472316285001; range: 8.
Rank 2649: avail (v). Academic frequency: 219; ratio: 1.5942785133733199; dispersion: 0.91432893846523899; range: 9.
Rank 2650: dissociate (v). Academic frequency: 218; ratio: 2.50277500344786; dispersion: 0.87150442230999303; range: 8.
Rank 2651: academician (n). Academic frequency: 217; ratio: 2.1897544298865301; dispersion: 0.81785850133521598; range: 8.
Rank 2652: professionalization (n). Academic frequency: 216; ratio: 2.9544656183189701; dispersion: 0.85790223727596904; range: 7.
Rank 2653: quantifiable (j). Academic frequency: 216; ratio: 2.4879710470054501; dispersion: 0.91703159387097; range: 9.
Rank 2654: deviance (n). Academic frequency: 215; ratio: 2.7178397451577099; dispersion: 0.85976814483584496; range: 7.
Rank 2655: employed (j). Academic frequency: 215; ratio: 2.1147236219345098; dispersion: 0.85787184654237303; range: 7.
Rank 2656: disincentive (n). Academic frequency: 214; ratio: 1.80563860368124; dispersion: 0.88082902549282105; range: 8.
Rank 2657: agreed-upon (j). Academic frequency: 214; ratio: 2.1846647828796302; dispersion: 0.90379445783008405; range: 9.
Rank 2658: piecemeal (j). Academic frequency: 214; ratio: 1.8922727791103899; dispersion: 0.87363455196088002; range: 8.
Rank 2659: tuning (n). Academic frequency: 214; ratio: 1.5482231829085; dispersion: 0.82803978013714596; range: 8.
Rank 2660: transformed (j). Academic frequency: 213; ratio: 2.2397550499902201; dispersion: 0.89539723512678804; range: 8.
Rank 2661: oversimplify (v). Academic frequency: 213; ratio: 2.0433929634157399; dispersion: 0.91055967325345999; range: 8.
Rank 2662: productively (r). Academic frequency: 212; ratio: 2.1392992586909898; dispersion: 0.91092717437890003; range: 9.
Rank 2663: identifier (n). Academic frequency: 212; ratio: 2.4101845544343301; dispersion: 0.81946227645026204; range: 7.
Rank 2664: interchangeably (r). Academic frequency: 212; ratio: 2.47445614255258; dispersion: 0.91533022189638902; range: 8.
Rank 2665: symbiosis (n). Academic frequency: 212; ratio: 2.2159308739276802; dispersion: 0.84464909570785796; range: 8.
Rank 2666: submissive (j). Academic frequency: 211; ratio: 1.55872416431393; dispersion: 0.88245324704000205; range: 8.
Rank 2667: verbatim (r). Academic frequency: 211; ratio: 1.85171742828271; dispersion: 0.88053656281197501; range: 8.
Rank 2668: quarterly (r). Academic frequency: 211; ratio: 1.9190526074929899; dispersion: 0.88638357625430297; range: 9.
Rank 2669: persuasively (r). Academic frequency: 211; ratio: 2.1230898100137998; dispersion: 0.90608392840032503; range: 9.
Rank 2670: advisable (j). Academic frequency: 211; ratio: 1.66030394131416; dispersion: 0.92106414976269801; range: 9.
Rank 2671: obsolescence (n). Academic frequency: 210; ratio: 2.16274607354068; dispersion: 0.85390443324884402; range: 9.
Rank 2672: inclusiveness (n). Academic frequency: 209; ratio: 2.1029657359852298; dispersion: 0.89164675128229098; range: 7.
Rank 2673: dynamically (r). Academic frequency: 209; ratio: 2.8039543146469801; dispersion: 0.858599726074465; range: 9.
Rank 2674: delimit (v). Academic frequency: 209; ratio: 3.0878990553707202; dispersion: 0.88336164435012798; range: 8.
Rank 2675: appreciable (j). Academic frequency: 208; ratio: 2.0119626719389299; dispersion: 0.89820971289443896; range: 8.
Rank 2676: psychoanalyst (n). Academic frequency: 208; ratio: 1.81176738119873; dispersion: 0.82586692644599302; range: 7.
Rank 2677: monogamous (j). Academic frequency: 207; ratio: 1.50068094898741; dispersion: 0.83706557049216501; range: 7.
Rank 2678: diminution (n). Academic frequency: 207; ratio: 2.3083722877736301; dispersion: 0.865643637823578; range: 8.
Rank 2679: formalized (j). Academic frequency: 207; ratio: 2.7045854416452202; dispersion: 0.88785529675295005; range: 8.
Rank 2680: servitude (n). Academic frequency: 207; ratio: 1.6548604985409101; dispersion: 0.85713072052088202; range: 7.
Rank 2681: constructively (r). Academic frequency: 206; ratio: 2.15321584919388; dispersion: 0.89299582926512899; range: 8.
Rank 2682: misinterpretation (n). Academic frequency: 206; ratio: 2.0847610100576599; dispersion: 0.90378377089323203; range: 8.
Rank 2683: malleable (j). Academic frequency: 205; ratio: 1.5741792118398701; dispersion: 0.88495290206805599; range: 8.
Rank 2684: minimization (n). Academic frequency: 205; ratio: 3.2334491918872899; dispersion: 0.83893804685721496; range: 7.
Rank 2685: portability (n). Academic frequency: 205; ratio: 1.81728030531387; dispersion: 0.83893804685721496; range: 7.
Rank 2686: emotive (j). Academic frequency: 205; ratio: 2.3612688177597998; dispersion: 0.82964454409067701; range: 8.
Rank 2687: dismantling (n). Academic frequency: 205; ratio: 1.6058740952997299; dispersion: 0.88579258800511995; range: 7.
Rank 2688: tested (j). Academic frequency: 205; ratio: 1.53381564230551; dispersion: 0.88432713765295801; range: 8.
Rank 2689: rooted (j). Academic frequency: 204; ratio: 1.56307249828886; dispersion: 0.89272415828011398; range: 8.
Rank 2690: concealment (n). Academic frequency: 204; ratio: 1.55965967624019; dispersion: 0.86183538812583005; range: 7.
Rank 2691: preconceived (j). Academic frequency: 204; ratio: 1.63835810027066; dispersion: 0.90523192363722804; range: 8.
Rank 2692: laudable (j). Academic frequency: 204; ratio: 1.6927112126019199; dispersion: 0.90889231428592698; range: 9.
Rank 2693: imprecise (j). Academic frequency: 204; ratio: 1.7550961467272901; dispersion: 0.88570539949125004; range: 7.
Rank 2694: permeable (j). Academic frequency: 203; ratio: 2.4014275095845901; dispersion: 0.85978980191924403; range: 8.
Rank 2695: catalyze (v). Academic frequency: 203; ratio: 2.3933418950742; dispersion: 0.88286583384748396; range: 9.
Rank 2696: append (v). Academic frequency: 203; ratio: 2.2352910152108101; dispersion: 0.89525257849931605; range: 8.
Rank 2697: successively (r). Academic frequency: 203; ratio: 2.4260155045632699; dispersion: 0.87515853174901503; range: 7.
Rank 2698: unattainable (j). Academic frequency: 202; ratio: 1.62977178330891; dispersion: 0.91840832465205302; range: 9.
Rank 2699: peer-reviewed (j). Academic frequency: 200; ratio: 2.1221750793761398; dispersion: 0.84670290283244098; range: 8.
Rank 2700: onwards (r). Academic frequency: 200; ratio: 2.5652665794656602; dispersion: 0.85396629602509799; range: 8.
Rank 2701: inadvertent (j). Academic frequency: 200; ratio: 1.5597277866238899; dispersion: 0.89127914312745204; range: 8.
Rank 2702: manifold (j). Academic frequency: 200; ratio: 2.1816753152464998; dispersion: 0.88784541166143405; range: 7.
Rank 2703: proportionally (r). Academic frequency: 199; ratio: 2.27717708272273; dispersion: 0.89197457206229303; range: 8.
Rank 2704: receptivity (n). Academic frequency: 199; ratio: 2.3541087409228201; dispersion: 0.87713988375047502; range: 8.
Rank 2705: cross-national (j). Academic frequency: 199; ratio: 3.2868688080809201; dispersion: 0.81801260738931403; range: 7.
Rank 2706: proscribe (v). Academic frequency: 198; ratio: 2.2510214234811201; dispersion: 0.87390659393217196; range: 7.
Rank 2707: profitably (r). Academic frequency: 198; ratio: 1.9152336973264801; dispersion: 0.91741678492315404; range: 8.
Rank 2708: moralistic (j). Academic frequency: 198; ratio: 2.0213253598606; dispersion: 0.84359276671262395; range: 7.
Rank 2709: de-emphasize (v). Academic frequency: 197; ratio: 2.1556656548475401; dispersion: 0.88983222267250806; range: 8.
Rank 2710: dispensation (n). Academic frequency: 197; ratio: 1.79172210273043; dispersion: 0.85242651892445598; range: 7.
Rank 2711: self-sacrifice (n). Academic frequency: 197; ratio: 2.0715105391928299; dispersion: 0.85242651892445598; range: 8.
Rank 2712: recovered (j). Academic frequency: 196; ratio: 1.84989601258826; dispersion: 0.84160113264224401; range: 8.
Rank 2713: requisite (n). Academic frequency: 196; ratio: 2.2139078086136901; dispersion: 0.88491431257120201; range: 9.
Rank 2714: urbanized (j). Academic frequency: 195; ratio: 2.3304089822159502; dispersion: 0.85759948365946004; range: 8.
Rank 2715: expediency (n). Academic frequency: 195; ratio: 1.6776654343716799; dispersion: 0.87533334365941595; range: 7.
Rank 2716: exclusivity (n). Academic frequency: 195; ratio: 1.58424554939506; dispersion: 0.876955320441553; range: 8.
Rank 2717: germane (j). Academic frequency: 195; ratio: 1.8355103005088; dispersion: 0.88933597620805405; range: 8.
Rank 2718: self-help (n). Academic frequency: 194; ratio: 1.5509320614344799; dispersion: 0.85409428332071102; range: 7.
Rank 2719: linking (n). Academic frequency: 193; ratio: 2.5502137887823801; dispersion: 0.86889697242039998; range: 8.
Rank 2720: nebulous (j). Academic frequency: 193; ratio: 1.8021510774062199; dispersion: 0.859115266576991; range: 8.
Rank 2721: appreciably (r). Academic frequency: 193; ratio: 2.0603861403272301; dispersion: 0.85739154246163096; range: 7.
Rank 2722: laborious (j). Academic frequency: 190; ratio: 1.51895408078635; dispersion: 0.89945524828397205; range: 9.
Rank 2723: inhospitable (j). Academic frequency: 189; ratio: 1.5075177642447599; dispersion: 0.87749795199925795; range: 8.
Rank 2724: rethinking (n). Academic frequency: 189; ratio: 1.82817762017527; dispersion: 0.91708033555211999; range: 8.
Rank 2725: unanimity (n). Academic frequency: 188; ratio: 1.59009350150357; dispersion: 0.87395434080504297; range: 8.
Rank 2726: pervasiveness (n). Academic frequency: 188; ratio: 2.2857594084113799; dispersion: 0.899746254051349; range: 8.
Rank 2727: archeological (j). Academic frequency: 188; ratio: 1.82860752672911; dispersion: 0.83141994513859097; range: 7.
Rank 2728: skewed (j). Academic frequency: 187; ratio: 1.5087491261325101; dispersion: 0.90433765843993197; range: 8.
Rank 2729: add-on (j). Academic frequency: 186; ratio: 1.6960821142201501; dispersion: 0.80980308975752002; range: 8.
Rank 2730: near-term (j). Academic frequency: 186; ratio: 1.76502854162747; dispersion: 0.86262899737271903; range: 7.
Rank 2731: methodologically (r). Academic frequency: 186; ratio: 3.27284186864591; dispersion: 0.88284054269963197; range: 8.
Rank 2732: irreconcilable (j). Academic frequency: 186; ratio: 1.6364209343229601; dispersion: 0.88951748492166305; range: 7.
Rank 2733: impute (v). Academic frequency: 185; ratio: 2.4445054452059098; dispersion: 0.87909751360597599; range: 7.
Rank 2734: energetically (r). Academic frequency: 185; ratio: 1.5135372499522599; dispersion: 0.89146001841548395; range: 8.
Rank 2735: enumeration (n). Academic frequency: 185; ratio: 2.87908419102029; dispersion: 0.86788681053676897; range: 8.
Rank 2736: culpability (n). Academic frequency: 185; ratio: 1.5030021878876201; dispersion: 0.86761337236291103; range: 7.
Rank 2737: customarily (r). Academic frequency: 185; ratio: 1.67388615756994; dispersion: 0.89995938153087196; range: 9.
Rank 2738: expedient (j). Academic frequency: 184; ratio: 1.7135434949430699; dispersion: 0.87467783280873301; range: 8.
Rank 2739: complicating (j). Academic frequency: 184; ratio: 1.69997982611767; dispersion: 0.91056001185031998; range: 9.
Rank 2740: inimical (j). Academic frequency: 184; ratio: 2.5167670081976401; dispersion: 0.88909188673621897; range: 8.
Rank 2741: salaried (j). Academic frequency: 184; ratio: 1.5676212995099701; dispersion: 0.85094621700705897; range: 9.
Rank 2742: weighing (n). Academic frequency: 184; ratio: 1.62700089418837; dispersion: 0.86931102768415103; range: 8.
Rank 2743: well-organized (j). Academic frequency: 184; ratio: 1.57144476609414; dispersion: 0.90318330011990799; range: 9.
Rank 2744: rejected (j). Academic frequency: 183; ratio: 1.5329922612861799; dispersion: 0.84921997525937298; range: 9.
Rank 2745: nested (j). Academic frequency: 183; ratio: 2.48368513650242; dispersion: 0.84027319054017302; range: 8.
Rank 2746: mediated (j). Academic frequency: 182; ratio: 2.72345801853271; dispersion: 0.85978876631811396; range: 8.
Rank 2747: irrelevance (n). Academic frequency: 182; ratio: 1.9488965637206599; dispersion: 0.880220289967792; range: 8.
Rank 2748: modus (n). Academic frequency: 181; ratio: 1.59243112426051; dispersion: 0.87802844079105802; range: 8.
Rank 2749: postulate (n). Academic frequency: 181; ratio: 2.9342017937763099; dispersion: 0.86516543836457604; range: 7.
Rank 2750: firstly (r). Academic frequency: 181; ratio: 1.7459713153049099; dispersion: 0.89184143531811599; range: 8.
Rank 2751: reorder (v). Academic frequency: 181; ratio: 2.0917082094246999; dispersion: 0.84473623823446298; range: 9.
Rank 2752: upsurge (n). Academic frequency: 181; ratio: 1.69916243285706; dispersion: 0.86357237106103302; range: 9.
Rank 2753: ritualized (j). Academic frequency: 180; ratio: 2.5011349149790201; dispersion: 0.86779503674364999; range: 7.
Rank 2754: ubiquity (n). Academic frequency: 180; ratio: 2.0397605131867702; dispersion: 0.89693368448004196; range: 9.
Rank 2755: disentangle (v). Academic frequency: 180; ratio: 1.9041873068722499; dispersion: 0.89312053062546204; range: 8.
Rank 2756: non-competitive (j). Academic frequency: 180; ratio: 2.2115298195604001; dispersion: 0.81336811452981195; range: 9.
Rank 2757: predetermine (v). Academic frequency: 179; ratio: 2.2959135886217701; dispersion: 0.90285940818055899; range: 9.
Rank 2758: idiosyncrasy (n). Academic frequency: 179; ratio: 1.52874246266766; dispersion: 0.90683971820648002; range: 9.
Rank 2759: fortuitous (j). Academic frequency: 179; ratio: 1.57088824484647; dispersion: 0.888065903976061; range: 7.
Rank 2760: summarily (r). Academic frequency: 179; ratio: 1.5362362982689799; dispersion: 0.90683971820648002; range: 9.
Rank 2761: unexamined (j). Academic frequency: 179; ratio: 1.94050900833976; dispersion: 0.88202579918813095; range: 7.
Rank 2762: uncritically (r). Academic frequency: 178; ratio: 2.6078779113505099; dispersion: 0.900217906562085; range: 7.
Rank 2763: testable (j). Academic frequency: 178; ratio: 2.92621042635104; dispersion: 0.85053432026724496; range: 8.
Rank 2764: functionary (n). Academic frequency: 178; ratio: 1.55820705203193; dispersion: 0.83089771250632805; range: 8.
Rank 2765: permeability (n). Academic frequency: 177; ratio: 3.1947486182051601; dispersion: 0.82716413706426795; range: 7.
Rank 2766: needed (j). Academic frequency: 177; ratio: 1.5651041210398999; dispersion: 0.90614557509981097; range: 9.
Rank 2767: discontinuous (j). Academic frequency: 177; ratio: 2.8561347093631402; dispersion: 0.84287137304791304; range: 7.
Rank 2768: destabilization (n). Academic frequency: 177; ratio: 2.2455841736659501; dispersion: 0.85508794065789195; range: 7.
Rank 2769: city-state (n). Academic frequency: 177; ratio: 1.8668109395536201; dispersion: 0.83862379396794795; range: 7.
Rank 2770: singly (r). Academic frequency: 177; ratio: 1.8336722838219; dispersion: 0.87361029157794901; range: 8.
Rank 2771: regenerative (j). Academic frequency: 177; ratio: 2.1670672445167898; dispersion: 0.84307693125595196; range: 9.
Rank 2772: vicissitude (n). Academic frequency: 177; ratio: 2.0522557348735102; dispersion: 0.88796029501254803; range: 8.
Rank 2773: unjustified (j). Academic frequency: 176; ratio: 1.5445605088993299; dispersion: 0.89071800231037102; range: 8.
Rank 2774: paleolithic (j). Academic frequency: 176; ratio: 2.29955090690608; dispersion: 0.81987751276004195; range: 7.
Rank 2775: enmesh (v). Academic frequency: 175; ratio: 1.6651577558963599; dispersion: 0.90168584531829898; range: 9.
Rank 2776: second-order (j). Academic frequency: 175; ratio: 3.2422119268246599; dispersion: 0.82869453323294395; range: 8.
Rank 2777: succinct (j). Academic frequency: 174; ratio: 1.50068094898741; dispersion: 0.90616827378620901; range: 8.
Rank 2778: funder (n). Academic frequency: 174; ratio: 1.6290814579916799; dispersion: 0.849338013901213; range: 9.
Rank 2779: irrationality (n). Academic frequency: 173; ratio: 2.1557824783199999; dispersion: 0.83678173497979902; range: 7.
Rank 2780: meaningfulness (n). Academic frequency: 173; ratio: 3.2568541742361199; dispersion: 0.83907495601109605; range: 7.
Rank 2781: disorganization (n). Academic frequency: 173; ratio: 2.2519512134123398; dispersion: 0.80268878426559898; range: 7.
Rank 2782: bylaw (n). Academic frequency: 173; ratio: 1.61110339470191; dispersion: 0.85266643661345798; range: 9.
Rank 2783: blurring (n). Academic frequency: 173; ratio: 1.96043649322951; dispersion: 0.85475604582910902; range: 8.
Rank 2784: demonstrable (j). Academic frequency: 172; ratio: 2.307560488609; dispersion: 0.91787996648445203; range: 8.
Rank 2785: enquiry (n). Academic frequency: 172; ratio: 2.2389341543752699; dispersion: 0.82389544038757401; range: 8.
Rank 2786: enabling (j). Academic frequency: 172; ratio: 2.4683331456022501; dispersion: 0.85904067372809001; range: 8.
Rank 2787: neurosis (n). Academic frequency: 172; ratio: 1.60606210007186; dispersion: 0.811964199955163; range: 7.
Rank 2788: opacity (n). Academic frequency: 171; ratio: 1.94406395664278; dispersion: 0.84110094469473295; range: 7.
Rank 2789: industrialize (v). Academic frequency: 171; ratio: 2.3481243084156; dispersion: 0.84153682277629005; range: 7.
Rank 2790: demographically (r). Academic frequency: 171; ratio: 2.1773516314399202; dispersion: 0.87222463176465603; range: 8.
Rank 2791: unconnected (j). Academic frequency: 171; ratio: 1.6962371066458299; dispersion: 0.89983776530626902; range: 8.
Rank 2792: truism (n). Academic frequency: 171; ratio: 1.61393988853363; dispersion: 0.89778714864528097; range: 8.
Rank 2793: undefined (j). Academic frequency: 170; ratio: 1.7056450136533201; dispersion: 0.88577345225138204; range: 8.
Rank 2794: discredited (j). Academic frequency: 170; ratio: 1.60883813450002; dispersion: 0.88097306253430097; range: 8.
Rank 2795: disenchantment (n). Academic frequency: 170; ratio: 1.66742327665268; dispersion: 0.87721085433402901; range: 8.
Rank 2796: male-female (j). Academic frequency: 170; ratio: 1.9581253610691001; dispersion: 0.84839159177787904; range: 7.
Rank 2797: hierarchically (r). Academic frequency: 170; ratio: 3.3631079647740498; dispersion: 0.87664223677706399; range: 8.
Rank 2798: reconfiguration (n). Academic frequency: 170; ratio: 2.4496712336008502; dispersion: 0.88856450894070704; range: 8.
Rank 2799: globalize (v). Academic frequency: 169; ratio: 2.5289253029232301; dispersion: 0.84148756032238503; range: 8.
Rank 2800: incrementally (r). Academic frequency: 169; ratio: 1.6859502019488199; dispersion: 0.90013835685256605; range: 9.
Rank 2801: interdependency (n). Academic frequency: 168; ratio: 3.00136189797482; dispersion: 0.81682558919660697; range: 8.
Rank 2802: ostensible (j). Academic frequency: 168; ratio: 1.81563867902181; dispersion: 0.88387070833557502; range: 7.
Rank 2803: edited (j). Academic frequency: 168; ratio: 1.82691593789772; dispersion: 0.90120828578507495; range: 8.
Rank 2804: apathetic (j). Academic frequency: 168; ratio: 1.5399657905839399; dispersion: 0.87814963258765599; range: 8.
Rank 2805: tabulation (n). Academic frequency: 168; ratio: 2.3343925873137499; dispersion: 0.86397770863991796; range: 8.
Rank 2806: conjecture (v). Academic frequency: 167; ratio: 2.1738488591899401; dispersion: 0.85940925782174604; range: 7.
Rank 2807: constrained (j). Academic frequency: 167; ratio: 2.5314517018272502; dispersion: 0.80164227940843302; range: 8.
Rank 2808: duplicate (j). Academic frequency: 167; ratio: 1.61984859590608; dispersion: 0.85660034291410303; range: 8.
Rank 2809: institutionally (r). Academic frequency: 166; ratio: 2.4629820094962902; dispersion: 0.90657902838947102; range: 7.
Rank 2810: incapacity (n). Academic frequency: 166; ratio: 2.2974851946289498; dispersion: 0.88224972979504201; range: 7.
Rank 2811: gender-specific (j). Academic frequency: 166; ratio: 2.57196351434126; dispersion: 0.84845428762614905; range: 7.
Rank 2812: truncated (j). Academic frequency: 166; ratio: 1.77756499767928; dispersion: 0.82298833371195201; range: 8.
